Div ,Carrier ID ,Carrier Ref ,Term,RecNo ,SStat ,MStat,Adj Date ,Adj Code,  -  Desc ,Adj Amt,Deduct Amt,Sett Amt,ToBe Paid ,B ,Bill Amt ,Billed To ,SPaid ,Check #,Recog
CHZ,TRACMO,10118241,CHI,1897206,99,PR,12/10/2021,CR,CHASSIS RENTAL,$515.00 ,$588.47 ,$515.00 ,12/14/2021,Y,$720.50 ,DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,FLEMA,15Z14047919,CHI,1897295,99,PR,12/28/2021,CR,CHASSIS RENTAL,$71.25 ,$645.82 ,$71.25 ,1/4/2022,Y,"$2,562.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14047919,CHI,1897453,99,PR,12/28/2021,CR,CHASSIS RENTAL,$356.25 ,$657.04 ,$356.25 ,1/4/2022,Y,"$1,601.00 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14047919,CHI,1897536,99,PR,12/28/2021,CR,CHASSIS RENTAL,$95.00 ,$596.04 ,$95.00 ,1/4/2022,Y,"$2,727.00 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14047919,CHI,1897537,99,PR,12/28/2021,CR,CHASSIS RENTAL,$688.75 ,$907.04 ,$688.75 ,1/4/2022,Y,"$3,184.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,TRACMO,10118241,CHI,1897538,88,PR,12/10/2021,CR,CHASSIS RENTAL,$231.75 ,$640.90 ,$231.75 ,12/14/2021,Y,"$1,481.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
EQC,TRACMO,5024019,CHI,1897538,88,PR,1/28/2022,MISC,TOLL VIOLATION,$30.40 ,$640.90 ,$30.40 ,1/31/2022,Y,"$1,481.00 ",DJSTXIL,03/29/2022,221891,1/31/2022
CHZ,TRACMO,10118241,CHI,1897568,88,PR,12/10/2021,CR,CHASSIS RENTAL,$77.25 ,$645.82 ,$77.25 ,12/14/2021,Y,"$1,295.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10118241,CHI,1897569,99,PR,12/10/2021,CR,CHASSIS RENTAL,$25.75 ,$720.82 ,$25.75 ,12/14/2021,Y,"$1,770.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10118241,CHI,1898244,99,PR,12/10/2021,CR,CHASSIS RENTAL,$25.75 ,$645.83 ,$25.75 ,12/14/2021,Y,"$1,877.50 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10118241,CHI,1898245,99,PR,12/10/2021,CR,CHASSIS RENTAL,$154.50 ,$645.82 ,$154.50 ,12/14/2021,Y,$911.50 ,DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10125411,CHI,1898509,88,PR,1/14/2022,CR,CHASSIS RENTAL,$128.75 ,$596.05 ,$128.75 ,1/18/2022,Y,"$2,735.50 ",DJSTXIL,02/22/2022,221657,1/18/2022
CHZ,TRACMO,10118241,CHI,1898513,99,PR,12/10/2021,CR,CHASSIS RENTAL,$25.75 ,$596.04 ,$25.75 ,12/14/2021,Y,"$1,319.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10118241,CHI,1898514,88,PR,12/10/2021,CR,CHASSIS RENTAL,$51.50 ,$596.04 ,$51.50 ,12/14/2021,Y,"$1,794.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10118241,CHI,1898517,99,PR,12/10/2021,CR,CHASSIS RENTAL,$25.75 ,$685.82 ,$25.75 ,12/14/2021,Y,"$1,208.75 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,DIRECT,DZZZ2169650,CHI,1898519,99,PR,12/17/2021,CR,CHASSIS RENTAL,$558.00 ,"$1,117.82 ",$558.00 ,12/27/2021,Y,"$1,760.00 ",DJSTXIL,01/04/2022,221302,12/27/2021
CHZ,FLEMA,15Z14047919,CHI,1898520,99,PR,12/28/2021,CR,CHASSIS RENTAL,$475.00 ,$623.82 ,$475.00 ,1/4/2022,Y,"$1,435.00 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14047919,CHI,1898521,88,PR,12/28/2021,CR,CHASSIS RENTAL,$23.75 ,$645.82 ,$23.75 ,1/4/2022,Y,"$1,435.00 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,TRACMO,10118241,CHI,1898522,99,PR,12/10/2021,CR,CHASSIS RENTAL,$128.75 ,$674.83 ,$128.75 ,12/14/2021,Y,"$1,100.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
PD,MSCSC,100001262861P,CHI,1898523,88,PR,12/14/2021,PD,PER DIEM CHARGES,"$2,140.00 ",$967.82 ,"$2,140.00 ",12/20/2021,Y,"$1,330.00 ",DJSTXIL,01/12/2022,ACH,12/20/2021
PD,MSCSC,100001247422P,CHI,1898524,99,PR,12/9/2021,PD,PER DIEM CHARGES,$910.00 ,$967.82 ,$910.00 ,12/13/2021,Y,"$1,580.00 ",DJSTXIL,01/12/2022,ACH,12/13/2021
CHZ,TRACMO,10118241,CHI,1898525,88,PR,12/10/2021,CR,CHASSIS RENTAL,$77.25 ,$645.82 ,$77.25 ,12/14/2021,Y,"$2,855.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
PD,MSCSC,100001247432P,CHI,1898526,99,PR,12/9/2021,PD,PER DIEM CHARGES,$910.00 ,$645.82 ,$910.00 ,12/13/2021,Y,"$2,855.00 ",DJSTXIL,01/12/2022,ACH,12/13/2021
CHZ,TRACMO,10118241,CHI,1898526,99,PR,12/10/2021,CR,CHASSIS RENTAL,$309.00 ,$645.82 ,$309.00 ,12/14/2021,Y,"$2,855.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
PD,MSCSC,100001226910P,CHI,1898530,99,PR,12/8/2021,PD,PER DIEM CHARGES,$270.00 ,$619.04 ,$270.00 ,12/8/2021,Y,$731.50 ,DJSTXIL,01/12/2022,ACH,12/8/2021
CHZ,TRACMO,10118241,CHI,1898761,88,PR,12/10/2021,CR,CHASSIS RENTAL,$25.75 ,$645.82 ,$25.75 ,12/14/2021,Y,"$1,185.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10118241,CHI,1898762,88,PR,12/10/2021,CR,CHASSIS RENTAL,$51.50 ,$695.82 ,$51.50 ,12/14/2021,Y,"$1,185.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10118241,CHI,1898763,88,PR,12/10/2021,CR,CHASSIS RENTAL,$25.75 ,$620.05 ,$25.75 ,12/14/2021,Y,"$1,319.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10118241,CHI,1898874,99,PR,12/10/2021,CR,CHASSIS RENTAL,$180.25 ,$720.82 ,$180.25 ,12/14/2021,Y,"$1,042.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
CHZ,TRACMO,10118241,CHI,1898933,99,PR,12/10/2021,CR,CHASSIS RENTAL,$77.25 ,$645.82 ,$77.25 ,12/14/2021,Y,"$1,910.00 ",DJSTXIL,01/25/2022,221499,12/14/2021
