"TERMINAL","RECNO","EL_DIV","EL_PR","EL_DDP","EL_ID","EL_PB","EL_PB_BILL_INFO","EL_TPP","PREFIX_CTNR","CONTAINERNO","ADJAMOUNT","VCC","ORIG_BILLTOID","CONSIGNEE","INV_DATE","DUE_DATE","DELVDATE","INGATEDATE","EMPTY_NOTIFIED","CARRIER_ID","MPA_CARR_REF","PPWK_RECVD","NBA_CHANGE","SPAID","EL_NBA"
"DIT",1917965,"PD",4200,0,0,0,"",0,"TCLU","861921",4200,"Y","SAMSDTX","NEOVIA LOGISTICS - A59",7/18/2022,8/17/2022,7/1/2022,7/16/2022,7/5/2022,"ONE","UST863553",7/20/2022,,,0
"DIT",1917970,"PD",4200,0,0,0,"",0,"TEMU","787783",4200,"Y","SAMSDTX","NEOVIA LOGISTICS - A59",7/18/2022,8/17/2022,7/1/2022,7/16/2022,7/6/2022,"ONE","UST863558",7/20/2022,,,0
"DIT",1919079,"PD",3900,0,0,0,"",0,"TCNU","552974",3900,"Y","SAMSDTX","NEOVIA LOGISTICS - A59",7/18/2022,8/17/2022,7/1/2022,7/12/2022,7/5/2022,"ONE","UST863721",7/20/2022,,,0
"DIT",1919081,"PD",150,0,0,0,"",0,"TCNU","806991",150,"Y","SAMSDTX","UNIS ROANOKE",7/18/2022,8/17/2022,7/8/2022,7/13/2022,,"ONE","UST863724",7/20/2022,,,0
"DIT",1919085,"PD",4350,0,0,0,"",0,"TRHU","620525",4350,"Y","SAMSDTX","NEOVIA LOGISTICS - A59",7/18/2022,8/17/2022,7/1/2022,7/15/2022,7/5/2022,"ONE","UST863717",7/20/2022,,,0
"DIT",1922392,"PD",150,0,0,0,"",0,"TLLU","544341",150,"Y","SAMSDTX","UNIS ROANOKE",7/18/2022,8/17/2022,7/8/2022,7/15/2022,7/14/2022,"ONE","UST863578",7/20/2022,,,0
"DIT",1922621,"PD",450,0,0,0,"",0,"TRHU","522188",450,"Y","SAMSDTX","NEOVIA LOGISTICS - A59",7/18/2022,8/17/2022,7/1/2022,7/16/2022,7/6/2022,"ONE","UST863685",7/20/2022,,,0
"DIT",1915921,"PD",5045,0,0,0,"",0,"BEAU","448973",5045,"N","VICIL","IDC",7/18/2022,8/17/2022,6/16/2022,6/18/2022,,"YANGTX","DT0308672",7/20/2022,,,0
"DIT",1919236,"PD",4050,0,0,0,"",0,"TCNU","485948",4050,"Y","SAMSDTX","NEOVIA LOGISTICS - A59",7/18/2022,8/17/2022,7/1/2022,7/16/2022,7/5/2022,"ONE","UST863544",7/20/2022,,,0
"DIT",1920364,"PD",750,0,0,0,"",0,"TCNU","614100",750,"Y","SAMSDTX","UNIS ROANOKE",7/18/2022,8/17/2022,7/7/2022,7/15/2022,,"ONE","UST863731",7/20/2022,,,0
"DIT",1917152,"PD",150,0,0,0,"",0,"ONEU","033686",150,"Y","SAMSDTX","UNIS ROANOKE",7/18/2022,8/17/2022,7/8/2022,7/12/2022,7/12/2022,"ONE","UST863712",7/20/2022,,,0
"DIT",1917041,"PD",360,0,0,0,"",0,"CAIU","991460",360,"Y","SAMSDTX","NEOVIA LOGISTICS - A59",6/17/2022,7/17/2022,6/2/2022,6/7/2022,6/6/2022,"SMLINE","LGT044064",7/25/2022,,,0
"DIT",1908857,"MNR",322.8,0,0,0,"",0,"KOCU","433034",322.8,"Y","HYUNTX","NEOVIA LOGISTICS - A59",5/11/2022,6/1/2022,2/25/2022,2/28/2022,2/28/2022,"DIRECT","MR0048657",5/12/2022,,6/7/2022,0
"DIT",1917148,"PD",150,0,0,0,"",0,"NYKU","565406",150,"Y","SAMSDTX","UNIS ROANOKE",7/18/2022,8/17/2022,7/7/2022,7/12/2022,7/12/2022,"ONE","UST863700",7/20/2022,,,0
"DIT",1917963,"PD",150,0,0,0,"",0,"TCLU","156020",150,"Y","SAMSDTX","UNIS ROANOKE",7/18/2022,8/17/2022,7/8/2022,7/15/2022,,"ONE","UST863561",7/20/2022,,,0
"DIT",1919071,"PD",450,0,0,0,"",0,"FFAU","144312",450,"Y","SAMSDTX","UNIS ROANOKE",7/18/2022,8/17/2022,7/8/2022,7/15/2022,7/14/2022,"ONE","UST863730",7/20/2022,,,0
"JAX",1913946,"MNR",460,0,0,0,"",0,"TLLU","479146",460,"Y","CMAVA","SAMSUNG ELECTRONICS AMERICA",6/9/2022,7/9/2022,4/19/2022,5/12/2022,4/20/2022,"DOWNGA","397778",6/10/2022,,7/19/2022,0
"MEM",1921453,"PD",40,0,0,0,"",0,"CAAU","507370",40,"N","EVERSC","MEDEGEN MEDICAL",7/1/2022,7/31/2022,6/15/2022,6/23/2022,6/22/2022,"EVERTX","PF2207002008",7/7/2022,,,0
"MEM",1919999,"PD",185,0,0,0,"",0,"MSMU","844753",185,"N","MEDSC","MEDEGEN MEDICAL",7/12/2022,8/11/2022,5/24/2022,6/3/2022,5/31/2022,"MSCSC","100001814798P",7/14/2022,,,0
